name,alt,nps,kgm,od,thk,sch,profileCode,code
CHS 3 SCH ,,3,6.722059536,88.9,3.18,,CHS,ASME B36.10M
CHS 3 SCH ,,3,7.532288496,88.9,3.58,,CHS,ASME B36.10M
CHS 3 SCH ,,3,8.294696784,88.9,3.96,,CHS,ASME B36.10M
CHS 3 SCH ,,3,9.109307826,88.9,4.37,,CHS,ASME B36.10M
CHS 3 SCH 30,,3,9.915628176,88.9,4.78,30,CHS,ASME B36.10M
CHS 3 SCH 40,CHS 3 SCH STD,3,11.29232939,88.9,5.49,40(STD),CHS,ASME B36.10M
CHS 3 SCH ,,3,12.92658705,88.9,6.35,,CHS,ASME B36.10M
CHS 3 SCH ,,3,14.39567942,88.9,7.14,,CHS,ASME B36.10M
CHS 3 SCH 80,CHS 3 SCH XS,3,15.27325978,88.9,7.62,80(XS),CHS,ASME B36.10M
CHS 3 SCH 120,,3,17.54038427,88.9,8.89,120,CHS,ASME B36.10M
CHS 3 SCH 160,,3,21.34520527,88.9,11.13,160,CHS,ASME B36.10M
CHS 3 SCH XXS,,3,27.68278334,88.9,15.24,XXS,CHS,ASME B36.10M
CHS 3.5 SCH 5,,3.5,5.176723374,101.6,2.11,5,CHS,ASME B36.10M
CHS 3.5 SCH ,,3.5,6.750899406,101.6,2.77,,CHS,ASME B36.10M
CHS 3.5 SCH 10,,3.5,7.41224115,101.6,3.05,10,CHS,ASME B36.10M
CHS 3.5 SCH ,,3.5,7.717978296,101.6,3.18,,CHS,ASME B36.10M
CHS 3.5 SCH ,,3.5,8.653480056,101.6,3.58,,CHS,ASME B36.10M
CHS 3.5 SCH ,,3.5,9.534897504,101.6,3.96,,CHS,ASME B36.10M
CHS 3.5 SCH ,,3.5,10.47791317,101.6,4.37,,CHS,ASME B36.10M
CHS 3.5 SCH 30,,3.5,11.41263814,101.6,4.78,30,CHS,ASME B36.10M
CHS 3.5 SCH ,,3.5,13.23492089,101.6,5.59,,CHS,ASME B36.10M
CHS 3.5 SCH 40,CHS 3.5 SCH STD,3.5,13.56882962,101.6,5.74,40(STD),CHS,ASME B36.10M
CHS 3.5 SCH ,,3.5,14.91529275,101.6,6.35,,CHS,ASME B36.10M
CHS 3.5 SCH ,,3.5,16.6317989,101.6,7.14,,CHS,ASME B36.10M
CHS 3.5 SCH 80,CHS 3.5 SCH XS,3.5,18.63412186,101.6,8.08,80(XS),CHS,ASME B36.10M
CHS 4 SCH 5,,4,5.837537394,114.3,2.11,5,CHS,ASME B36.10M
CHS 4 SCH ,,4,7.618413546,114.3,2.77,,CHS,ASME B36.10M
CHS 4 SCH 10,,4,8.36744625,114.3,3.05,10,CHS,ASME B36.10M
CHS 4 SCH ,,4,8.713897056,114.3,3.18,,CHS,ASME B36.10M
CHS 4 SCH ,,4,9.774671616,114.3,3.58,,CHS,ASME B36.10M
CHS 4 SCH ,,4,10.77509822,114.3,3.96,,CHS,ASME B36.10M
CHS 4 SCH ,,4,11.84651851,114.3,4.37,,CHS,ASME B36.10M
CHS 4 SCH 30,,4,12.9096481,114.3,4.78,30,CHS,ASME B36.10M
CHS 4 SCH ,,4,13.88758478,114.3,5.16,,CHS,ASME B36.10M
CHS 4 SCH ,,4,14.9092979,114.3,5.56,,CHS,ASME B36.10M
CHS 4 SCH 40,CHS 4 SCH STD,4,16.0745125,114.3,6.02,40(STD),CHS,ASME B36.10M
CHS 4 SCH ,,4,16.90399845,114.3,6.35,,CHS,ASME B36.10M
CHS 4 SCH ,,4,18.86791838,114.3,7.14,,CHS,ASME B36.10M
CHS 4 SCH ,,4,20.77677994,114.3,7.92,,CHS,ASME B36.10M
CHS 4 SCH 80,CHS 4 SCH XS,4,22.3206143,114.3,8.56,80(XS),CHS,ASME B36.10M
CHS 4 SCH 120,,4,28.31663659,114.3,11.13,120,CHS,ASME B36.10M
CHS 4 SCH 160,,4,33.53579735,114.3,13.49,160,CHS,ASME B36.10M
CHS 4 SCH XXS,,4,41.02737466,114.3,17.12,XXS,CHS,ASME B36.10M
CHS 5 SCH ,,5,7.242417594,141.3,2.11,,CHS,ASME B36.10M
CHS 5 SCH 5,,5,9.462734946,141.3,2.77,5,CHS,ASME B36.10M
CHS 5 SCH ,,5,10.83120466,141.3,3.18,,CHS,ASME B36.10M
CHS 5 SCH 10,,5,11.5620876,141.3,3.4,10,CHS,ASME B36.10M
CHS 5 SCH ,,5,13.41174542,141.3,3.96,,CHS,ASME B36.10M
CHS 5 SCH ,,5,16.0922677,141.3,4.78,,CHS,ASME B36.10M
CHS 5 SCH ,,5,18.6112571,141.3,5.56,,CHS,ASME B36.10M
CHS 5 SCH 40,CHS 5 SCH STD,5,21.76522425,141.3,6.55,40(STD),CHS,ASME B36.10M
CHS 5 SCH ,,5,23.62187318,141.3,7.14,,CHS,ASME B36.10M
CHS 5 SCH ,,5,26.05007434,141.3,7.92,,CHS,ASME B36.10M
CHS 5 SCH ,,5,28.5704447,141.3,8.74,,CHS,ASME B36.10M
CHS 5 SCH 80,CHS 5 SCH XS,5,30.96724135,141.3,9.53,80(XS),CHS,ASME B36.10M
CHS 5 SCH 120,,5,40.2752052,141.3,12.7,120,CHS,ASME B36.10M
CHS 5 SCH 160,,5,49.11457234,141.3,15.88,160,CHS,ASME B36.10M
CHS 5 SCH XXS,,5,57.42974925,141.3,19.05,XXS,CHS,ASME B36.10M
CHS 6 SCH ,,6,8.646257142,168.28,2.11,,CHS,ASME B36.10M
CHS 6 SCH 5,,6,11.30569018,168.28,2.77,5,CHS,ASME B36.10M
CHS 6 SCH ,,6,12.94694388,168.28,3.18,,CHS,ASME B36.10M
CHS 6 SCH 10,,6,13.82419872,168.28,3.4,10,CHS,ASME B36.10M
CHS 6 SCH ,,6,14.54017716,168.28,3.58,,CHS,ASME B36.10M
CHS 6 SCH ,,6,16.04643955,168.28,3.96,,CHS,ASME B36.10M
CHS 6 SCH ,,6,17.66363002,168.28,4.37,,CHS,ASME B36.10M
CHS 6 SCH ,,6,19.2725298,168.28,4.78,,CHS,ASME B36.10M
